Name,Category,Width,Height,Notes,Prompt
View From Dashboard,background,1024,576,First-person driving view,"First person view from inside car dashboard, hands on steering wheel, road ahead through windshield, family road trip, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics, visible pixels"
Space Center NASA,landmark,512,384,Houston landmark visit,"NASA Johnson Space Center entrance, Saturn V rocket display, American flag, visitor center building, astronaut statue, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics, centered composition"
Beaver nuggets,popup,128,128,Buc-ee's snack item,"Bag of Beaver Nuggets snack, Buc-ee's branded packaging, caramel corn puffs, pixel art, 1980s retro video game style, 16-bit graphics, item icon, transparent background"
Two States At Once Sign,landmark,512,384,Texarkana landmark,"Texarkana state line photo spot, person standing in two states at once, Texas Arkansas border marker, historic downtown, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics"
Little Rock Central High School National Historic Site,landmark,512,384,Historic landmark,"Little Rock Central High School historic building, 1950s architecture, civil rights memorial, American flag, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics, centered composition"
National Civil Rights Museum,landmark,512,384,Memphis landmark,"National Civil Rights Museum at Lorraine Motel, historic building facade, memorial wreath, civil rights history, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics, centered composition"
Historic Mount Vernon Town Square,landmark,512,384,Mount Vernon landmark,"Historic Mount Vernon Illinois town square, courthouse, gazebo, small town America, charming storefronts, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics, centered composition"
Cloud Gate,landmark,512,384,Chicago Bean landmark,"Cloud Gate sculpture the Bean in Millennium Park Chicago, reflective surface, city skyline reflection, tourists, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics, centered composition"
Motown Museum,landmark,512,384,Detroit landmark,"Motown Museum Hitsville USA building, historic recording studio, musical notes, Detroit landmark, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics, centered composition"
CPS Truck With A Kid,popup,256,256,Bad ending event,"Child protective services van, official vehicle, somber mood, suburban street, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics, dramatic event illustration, dark tone"
Divorce Papers,popup,256,256,Bad ending event,"Stack of legal divorce papers on table, wedding ring beside them, somber lighting, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics, dramatic event illustration"
Your Mom's Basement,background,1024,576,Bad ending scene,"Basement living space, old couch, boxes stacked, dim lighting, laundry area visible, depressing atmosphere, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics, wide scene"
A dog running away from the car,popup,256,256,Dog escape event,"Golden retriever dog running away from parked station wagon, open car door, family chasing, roadside scene, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics, dramatic event"
Sad family sitting In The Car,popup,256,256,Morale event,"Family of four sitting in station wagon looking sad and tired, low morale, cramped car interior, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics, emotional scene"
A luxury Hotel,background,1024,576,High-end lodging,"Fancy luxury hotel exterior, grand entrance, valet parking, palm trees, upscale accommodation, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics, wide scene"
a good motel,background,1024,576,Mid-tier lodging,"Clean roadside motel, neon vacancy sign, parking lot, two-story building, decent accommodation, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics, wide scene"
an okay motel,background,1024,576,Budget lodging,"Budget motel, slightly worn exterior, flickering neon sign, basic accommodation, roadside America, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics, wide scene"
A gas station,background,1024,576,Fuel stop scene,"American gas station, fuel pumps, convenience store, station wagon refueling, road trip stop, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics, wide scene"
Car w/ people,sprite,128,64,Vehicle with family visible,"Green station wagon car sprite with family of four visible through windows, luggage on roof rack, side view, pixel art, 1980s retro video game style, 16-bit graphics, transparent background, game asset"
Car with smoking engine,sprite,128,64,Breakdown state,"Green station wagon with smoke and steam coming from engine hood, breakdown, side view, pixel art, 1980s retro video game style, 16-bit graphics, transparent background, game asset"
Car at a crossroads,background,1024,576,Decision point scene,"Green station wagon stopped at rural crossroads, multiple road signs, decision moment, American countryside, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics, wide scene"
Mini theme park,landmark,512,384,Roadside attraction,"Small roadside amusement park, ferris wheel, carnival rides, colorful lights, family fun, pixel art, 1980s retro video game style like Oregon Trail, 16-bit graphics, centered composition"
